,X,CensusTract,ClusterNum,Change_Population,Change_HouseUnits,Change_5To7_or_more_person_household,Change_Builst1939earlier,Change_Built_1940to1959,Change_VacantUnits,Y00_PCT_Units_HHIncome_25to50k,Y00_PCT_Units_HHIncome_50to75k,Chg_Educate_HighSchool_orLess,Chg_Educate_SomeCollege,dis,lat,long,Y13_Geography,Y13_County_NM,Y13_County
1,1,1400000US17031010100,1,-0.056425806,0.045712436,-0.048353014,0.12430019,-0.127121451,0.035201461,0.315484159,0.136546185,-0.109116494,0.040231203,0.729543545,42.0212617,-87.6698442,"Census Tract 101, Cook County, Illinois",Cook,Cook Illinois
2,2,1400000US17031010201,1,-0.032786885,0.060919324,-0.063155323,0.082593812,-0.106211357,0.070163622,0.412176724,0.156788793,-0.130826196,0.03746493,0.568962698,42.0160076,-87.6801485,"Census Tract 102.01, Cook County, Illinois",Cook,Cook Illinois
3,3,1400000US17031010202,1,-0.177912158,0.069033511,-0.113847134,0.137957942,-0.14529222,0.063734082,0.412176724,0.156788793,-0.170794442,0.078061474,2.232674729,42.0160503,-87.6733216,"Census Tract 102.02, Cook County, Illinois",Cook,Cook Illinois
4,4,1400000US17031010300,1,-0.087832757,-0.000914355,-0.008041828,0.226459998,-0.075139668,0.09555646,0.352727273,0.171570248,0.043656468,0.019721979,0.979099285,42.0159407,-87.6665351,"Census Tract 103, Cook County, Illinois",Cook,Cook Illinois
5,5,1400000US17031010400,1,-0.118497653,-0.091314935,-0.024214694,0.115777604,0.000825827,0.127633184,0.313109885,0.162070429,-0.052634864,-0.065864124,1.966721592,42.0064028,-87.657135,"Census Tract 104, Cook County, Illinois",Cook,Cook Illinois
6,6,1400000US17031010501,2,-0.1986034,0.014843404,-0.030669909,0.011979285,-0.049680198,0.074862122,0.321687183,0.121832006,-0.211955839,0.04938539,2.876427357,42.0094117,-87.6639581,"Census Tract 105.01, Cook County, Illinois",Cook,Cook Illinois
7,7,1400000US17031010502,1,0.016954824,-0.001517085,0.038854067,0.145076048,-0.042214975,0.100148543,0.321687183,0.121832006,-0.09788104,0.015585556,0.9284426,42.0045171,-87.6633275,"Census Tract 105.02, Cook County, Illinois",Cook,Cook Illinois
8,8,1400000US17031010503,1,-0.064386318,0.005471198,0.001087166,-0.028298832,-0.115284605,0.083335792,0.321687183,0.121832006,0.071946841,-0.138549306,4.579427433,42.00032,-87.6631269,"Census Tract 105.03, Cook County, Illinois",Cook,Cook Illinois
9,9,1400000US17031010600,1,-0.032320981,0.037308673,-0.05086141,0.059602753,-0.134781395,-0.032284465,0.367682301,0.158165012,-0.049537331,0.02365077,2.137380557,42.0062784,-87.6676833,"Census Tract 106, Cook County, Illinois",Cook,Cook Illinois
10,10,1400000US17031010701,2,-0.060519419,0.090300015,-0.028302786,0.211357511,-0.098885073,-0.000951318,0.365521004,0.159574468,-0.142539277,-0.012207286,0.983252655,42.0091481,-87.6786203,"Census Tract 107.01, Cook County, Illinois",Cook,Cook Illinois
11,11,1400000US17031010702,1,-0.16388973,-0.044319473,-0.036871652,0.242275162,-0.112974695,0.131576884,0.365521004,0.159574468,-0.107099643,-0.021758656,0.786647814,42.0090199,-87.6727257,"Census Tract 107.02, Cook County, Illinois",Cook,Cook Illinois
12,12,1400000US17031020100,3,0.150279623,0.050961449,0.045730098,0.100530093,-0.140601029,0.079157701,0.382045379,0.201327105,0.00606536,-0.009159106,0.844816607,42.0157197,-87.6871154,"Census Tract 201, Cook County, Illinois",Cook,Cook Illinois
13,13,1400000US17031020200,4,0.03260356,0.009077879,0.015551262,0.039034109,-0.053078036,0.063739929,0.215992199,0.274987811,-0.01105174,-0.002901231,0.887505337,42.0156903,-87.6995191,"Census Tract 202, Cook County, Illinois",Cook,Cook Illinois
14,14,1400000US17031020301,5,0.25944645,0.19515293,0.094065292,-0.144263392,-0.091358249,0.094251477,0.308071632,0.176745393,-0.076642166,0.059690778,2.037013386,42.0068651,-87.7051865,"Census Tract 203.01, Cook County, Illinois",Cook,Cook Illinois
15,15,1400000US17031020302,1,-0.056438127,-0.149214992,0.021215423,0.293351137,0.007676306,0.093885538,0.308071632,0.176745393,-0.005473046,-0.04394182,1.001126287,42.0085406,-87.6949634,"Census Tract 203.02, Cook County, Illinois",Cook,Cook Illinois
16,16,1400000US17031020400,4,0.088912363,0.058787858,-0.037781592,-0.025452378,0.023941923,0.048732188,0.350618739,0.197407189,-0.052067123,0.037466346,1.098640838,42.0084869,-87.6859126,"Census Tract 204, Cook County, Illinois",Cook,Cook Illinois
17,17,1400000US17031020500,1,-0.146809712,0.024234694,-0.035411124,0.286171224,-0.069134877,0.083231144,0.362827924,0.153401512,0.094428134,-0.039020464,0.940349382,42.0013129,-87.6841982,"Census Tract 205, Cook County, Illinois",Cook,Cook Illinois
18,18,1400000US17031020601,3,0.080085162,0.054893131,0.055485935,-0.097802814,-0.027523745,0.148106729,0.266995933,0.182161534,0.092858964,-0.047271475,0,42.0008746,-87.7018025,"Census Tract 206.01, Cook County, Illinois",Cook,Cook Illinois
19,19,1400000US17031020602,3,-0.109198006,0.004244085,-0.049705573,0.321545303,-0.239860061,0.048788881,0.266995933,0.182161534,-0.026786962,-0.034556398,0.448752248,42.0013156,-87.6936373,"Census Tract 206.02, Cook County, Illinois",Cook,Cook Illinois
20,20,1400000US17031020701,2,0.14490161,0.259589542,-0.019026468,0.073474614,0.002901162,0.066477832,0.298882682,0.238128492,-0.185494259,0.088742107,0.646502137,41.9868915,-87.7036897,"Census Tract 207.01, Cook County, Illinois",Cook,Cook Illinois
21,21,1400000US17031020702,3,0.120749965,0.073244452,0.034317724,0.041600957,-0.13157241,0.040231592,0.298882682,0.238128492,0.009227706,0.005087773,4.05031459,41.995289,-87.7053882,"Census Tract 207.02, Cook County, Illinois",Cook,Cook Illinois
22,22,1400000US17031020801,1,-0.141092211,0.149833072,-0.102630958,0.206181914,-0.141760679,0.083108878,0.307392996,0.190203708,-0.059839989,0.080925506,1.574471491,41.9868081,-87.6944149,"Census Tract 208.01, Cook County, Illinois",Cook,Cook Illinois
23,23,1400000US17031020802,3,-0.043151227,-0.087646898,0.1554314,0.188264123,-0.097214547,0.124760443,0.307392996,0.190203708,-0.053980278,-0.061200756,1.066953059,41.9940592,-87.6946306,"Census Tract 208.02, Cook County, Illinois",Cook,Cook Illinois
24,24,1400000US17031020901,1,-0.14864994,-0.001894207,-0.061902586,0.190466278,-0.074133221,0.107563139,0.366657036,0.207743427,-0.084315636,0.03405062,4.358364873,41.9950577,-87.6864264,"Census Tract 209.01, Cook County, Illinois",Cook,Cook Illinois
25,25,1400000US17031020902,4,0.037914689,0.155773702,-0.073476604,-0.248806387,0.176591195,0.06605814,0.366657036,0.207743427,-0.004535781,0.018560266,0.674921402,41.9942499,-87.6786971,"Census Tract 209.02, Cook County, Illinois",Cook,Cook Illinois
