X,X,CensusTract,ClusterNum,Change_Population,Change_HouseUnits,Change_5To7_or_more_person_household,Change_Builst1939earlier,Change_Built_1940to1959,Change_VacantUnits,Y00_PCT_Units_HHIncome_25to50k,Y00_PCT_Units_HHIncome_50to75k,Chg_Educate_HighSchool_orLess,Chg_Educate_SomeCollege,dis,lat,long,Y13_Geography,Y13_County_NM,Y13_County,ctId
1,1,1400000US17031842400,3,-0.098878163,0.002695418,-0.02819348,0.032962691,-0.07871728,-0.011614932,0.303623188,0.180434783,-0.064592985,-0.023416672,0.546823442,41.7424748,-87.63004,"Census Tract 8424, Cook County, Illinois",Cook,Cook Illinois,17031842400
1,1,1400000US17031840300,3,0.091450777,0.06741573,-0.108051557,0.064619262,-0.086833568,0.027354904,0.297743056,0.248263889,-0.038313556,-0.006706221,0.546823442,41.8320943,-87.6818822,"Census Tract 8403, Cook County, Illinois",Cook,Cook Illinois,17031840300
1,1,1400000US17031841100,3,0.292624357,0.247623163,0.008615288,-0.043835539,-0.080986327,-0.00209834,0.272641062,0.107159791,-0.058337836,0.005080186,0.546823442,41.8510058,-87.6350978,"Census Tract 8411, Cook County, Illinois",Cook,Cook Illinois,17031841100
1,1,1400000US17031841200,1,-0.123679304,-0.020523345,-0.112277424,0.076841803,-0.078741612,0.034979725,0.399092971,0.067460317,-0.142850857,0.054388676,0.546823442,41.8555618,-87.683342,"Census Tract 8412, Cook County, Illinois",Cook,Cook Illinois,17031841200
1,1,1400000US17031838200,1,-0.612043877,-0.362043796,-0.121597096,0.084000763,-0.001483177,-0.04230236,0.254237288,0.133709981,-0.097722645,-0.11771184,0.546823442,41.8704157,-87.6750794,"Census Tract 8382, Cook County, Illinois",Cook,Cook Illinois,17031838200
1,1,1400000US17031650301,3,0.142145136,0.083105429,-0.02508907,-0.13544151,0.057432232,0.026813194,0.269402985,0.252238806,-0.046777058,0.098640525,0.546823442,41.7749275,-87.7299916,"Census Tract 6503.01, Cook County, Illinois",Cook,Cook Illinois,17031650301
1,1,1400000US17031530503,3,-0.11890625,-0.010714742,-0.131324912,-0.098640144,0.155096736,0.031156124,0.278658397,0.204686423,-0.071743132,0.051960203,0.546823442,41.6642039,-87.6375356,"Census Tract 5305.03, Cook County, Illinois",Cook,Cook Illinois,17031530503
1,1,1400000US17031760803,3,0.162196885,-0.086045998,0.044000439,0.013643941,0.161269587,-0.012213877,0.352324362,0.231911919,-0.01284159,0.032335974,0.546823442,41.9753463,-87.8441545,"Census Tract 7608.03, Cook County, Illinois",Cook,Cook Illinois,17031760803
1,1,1400000US17031540102,1,-0.138029591,0.048669902,-0.138115321,-0.146422347,0.00284562,0.049404017,0.20292887,0.074965132,-0.020927171,0.014570715,0.546823442,41.6673315,-87.6054486,"Census Tract 5401.02, Cook County, Illinois",Cook,Cook Illinois,17031540102
1,1,1400000US17031540101,1,-0.387288547,0.005254065,-0.086105344,-0.076556052,0.087039939,0.29797567,0.20292887,0.074965132,-0.083087185,0.022377144,0.546823442,41.6507203,-87.5993689,"Census Tract 5401.01, Cook County, Illinois",Cook,Cook Illinois,17031540101
1,1,1400000US17031440201,3,-0.0154992,0.039155357,0.028105929,0.204306613,-0.111910431,0.152308599,0.346956713,0.149197978,-0.091991347,0.087966929,0.546823442,41.7482101,-87.6100746,"Census Tract 4402.01, Cook County, Illinois",Cook,Cook Illinois,17031440201
1,1,1400000US17031839000,5,0.58130109,0.519768353,-0.009974352,-0.266498595,-0.022664215,-0.012478663,0.203191793,0.187802793,-0.108572079,-0.068176075,0.546823442,41.8710442,-87.6314045,"Census Tract 8390, Cook County, Illinois",Cook,Cook Illinois,17031839000
1,1,1400000US17031030601,1,-0.214232581,-0.046233954,-0.008023787,0.102136752,-0.047633136,0.15042735,0.29700368,0.14490976,-0.121672547,0.023677236,2.015880564,41.9888802,-87.6549042,"Census Tract 306.01, Cook County, Illinois",Cook,Cook Illinois,17031030601
1,1,1400000US17031030604,2,-0.175317186,0.04089631,-0.027334852,-0.092931204,-0.050519503,0.067360235,0.29700368,0.14490976,-0.181006441,-0.014934981,0.4784965,41.9856712,-87.6528374,"Census Tract 306.04, Cook County, Illinois",Cook,Cook Illinois,17031030604
1,1,1400000US17031020801,1,-0.141092211,0.149833072,-0.102630958,0.206181914,-0.141760679,0.083108878,0.307392996,0.190203708,-0.059839989,0.080925506,1.574471491,41.9868081,-87.6944149,"Census Tract 208.01, Cook County, Illinois",Cook,Cook Illinois,17031020801
1,1,1400000US17031843300,6,-0.195059187,-0.387676508,-0.057416738,0.232615678,-0.155782691,-0.17956688,0.291913215,0.106508876,-0.009260587,0.013410696,0.546823442,41.8637637,-87.6925503,"Census Tract 8433, Cook County, Illinois",Cook,Cook Illinois,17031843300
1,1,1400000US17031080202,4,0.001422071,0.006808446,0.003215195,0.0527125,-0.01813022,0.078168126,0.249759846,0.207877041,-0.028583161,-0.049493399,0.657050003,41.9058597,-87.6309005,"Census Tract 802.02, Cook County, Illinois",Cook,Cook Illinois,17031080202
1,1,1400000US17031070102,4,-0.100484345,-0.062386654,-0.005206638,0.00923599,-0.008299052,0.096208766,0.325089489,0.191832086,-0.002165723,0.050454243,0.499695404,41.9305829,-87.642202,"Census Tract 701.02, Cook County, Illinois",Cook,Cook Illinois,17031070102
1,1,1400000US17031031501,2,-0.348695823,-0.158159958,-0.09214384,0.003797158,-0.075805569,0.120926138,0.213910134,0.103967495,-0.223382641,0.012048167,0.583883362,41.9672853,-87.65245,"Census Tract 315.01, Cook County, Illinois",Cook,Cook Illinois,17031031501
1,1,1400000US17031031502,2,-0.108751229,0.100978284,-0.054824569,0.106825802,0.009835738,0.013419994,0.213910134,0.103967495,-0.215494274,0.058375206,0.935898531,41.9636326,-87.6523656,"Census Tract 315.02, Cook County, Illinois",Cook,Cook Illinois,17031031502
1,1,1400000US17031834900,3,-0.199862164,-0.017013233,-0.061129091,0.286157799,-0.239306214,0.065751781,0.295525494,0.065556712,-0.101675595,0.066712205,0.546823442,41.772294,-87.6567344,"Census Tract 8349, Cook County, Illinois",Cook,Cook Illinois,17031834900
